Term,Sentiment_Score,Last_Update_Date
annoying,-1.722,12/6/2018
appropriate,1.008,12/6/2018
authentic,1.581,12/6/2018
aweful,-1.947,12/6/2018
awful quality,-1.944,12/6/2018
awkward,-1.581,12/6/2018
beneficial,1.581,12/6/2018
better,2.376,12/6/2018
bored,-1.581,12/6/2018
broken,-1.008,12/6/2018
capable,1.581,12/6/2018
constructive,1.008,12/6/2018
correctly,1.581,12/6/2018
courteous,1.581,12/6/2018
cute,1.581,12/6/2018
dead,-1.008,12/6/2018
definitive,1.581,12/6/2018
disappoint,-1.581,12/6/2018
disturbing,-1.722,12/6/2018
dodgy,-1.581,12/6/2018
dreadful,-1.581,12/6/2018
dumb,-1.581,12/6/2018
eager,1.581,12/6/2018
economical,1.008,12/6/2018
effortless,1.581,12/6/2018
exemplary,2.049,12/6/2018
exorbitant,-1.581,12/6/2018
fab,1.719,12/6/2018
famous,1.008,12/6/2018
fancy,0.795,12/6/2018
fantastic,2.052,12/6/2018
fastest,1.581,12/6/2018
fitting,1.008,12/6/2018
flimsy,-0.99,12/6/2018
fortunately,1,12/6/2018
futile,-1.581,12/6/2018
genial,1.719,12/6/2018
gorgeous,1.947,12/6/2018
handy,1.581,12/6/2018
healthy,1.719,12/6/2018
high quality,1.083,12/6/2018
high-powered,1.083,12/6/2018
improper,-1.008,12/6/2018
insufficient,-1.008,12/6/2018
insulting,-1.947,12/6/2018
issue,-2,12/6/2018
kind,1.602,12/6/2018
lame,-1.722,12/6/2018
legible,1.008,12/6/2018
nasty,-1.722,12/6/2018
neat,1.581,12/6/2018
not adequate,-1.242,12/6/2018
not be happier,-1.68,12/6/2018
not been good,-1.578,12/6/2018
not best,-2.337,12/6/2018
not durable,-1.884,12/6/2018
not easily accessible,-1.674,12/6/2018
